francais	2	01 42 33 31 32	34 rue montmartre	1	le comptoir de la gastronomie	4.5	chatelet les halles
italien	2	01 42 60 12 70	6 rue gomboust	1	gambino	4.5	place vendome
japonais	2	01 42 60 52 61	9 rue d'argenteuil	1	sanukiya	4.5	palais royal musee du louvre
bars  francais	2	01 42 60 22 44	8 rue croix des petits champs	1	cafe louise	4.5	palais royal musee du louvre
francais  bistrot	2	01 42 60 19 16	45 rue richelieu	1	bistrot richelieu	4.0	palais royal musee du louvre
francais	2	01 42 61 43 78	6 rue la vrilliere	1	victoires	4.0	bourse
francais	3	01 42 60 17 42	20 rue saint roch	1	la cordonnerie	4.5	palais royal musee du louvre
italien	2	01 40 41 06 25	89 rue saint-honore	1	enza & famiglia trattoria pasta	4.5	chatelet les halles
creperies	2	01 40 28 40 39	2 rue sauval	1	creperie saint eustache	4.5	chatelet les halles
francais	3	01 42 60 27 19	36 rue du mont thabor	1	le souffle	4.0	concorde madeleine
francais	3	01 42 21 92 40	106 rue saint-honore	1	la regalade	4.5	chatelet les halles
bars lounge  cuisine europeenne moderne	3	01 42 60 29 40	6 rue de l'amiral coligny	1	le fumoir	4.0	chatelet les halles
brasseries  francais  bars a vins	1	01 42 61 03 34	10 rue du marche saint-honore	1	le rubis	4.0	place vendome
espagnol  fruits de mer	3	06 51 70 29 70	32 rue du mont thabor	1	ferdi	4.0	concorde madeleine
francais	3	01 42 96 28 18	28 rue du mont thabor	1	l'ardoise	4.0	place vendome
italien	3	01 42 60 41 96	107 rue de rivoli	1	loulou	4.5	1er
ramen	2	01 42 86 09 85	74-76 rue jean-jacques rousseau	1	ippudo	4.0	chatelet les halles
coreen	2	01 40 15 91 07	6 rue therese	1	jantchi	4.0	palais royal musee du louvre
francais	2	01 42 60 62 09	7 rue du mont-thabor	1	au petit bar	4.5	place vendome
francais	3	01 42 36 32 96	9 rue vauvilliers	1	la poule au pot	4.0	chatelet les halles
